Lucode;Categoria LULC;Produzione agricola €_ton
1;altra superficie agricola;0
2;altri cereali;180.27
3;altri edifici;0
4;altri erbai;115.56
5;altri erbai monofiti di cereali;115.56
6;altri prati avvicendati;115.56
7;area attrezzata del suolo;0
8;area attrezzata del suolo;0
9;area cani;0
10;area cani;0
11;area di circolazione ciclabile;0
12;area di circolazione ciclabile;0
13;area di circolazione pedonale;0
14;area di circolazione pedonale;0
15;area di circolazione veicolare;0
16;area di circolazione veicolare;0
17;area giochi bimbi;0
18;area giochi bimbi;0
19;area in trasformazione;0
20;area in trasformazione;0
21;area verde;0
22;area verde;0
23;argine;0
24;argine;0
25;argine;0
26;attrezzatura sportiva;0
27;attrezzatura sportiva;0
28;canale artificiale;0
29;coltura agricola;180.14
30;coltura agricola;180.14
31;corso d'acqua naturale;0
32;discarica;0
33;discarica;0
34;drenaggi superficiali;0
35;edifici industriali;0
36;edifici residenziali;0
37;erba medica;192.08
38;forma naturale del terreno;0
39;forma naturale del terreno;0
40;frumento tenero e spelta;260.18
41;granturco;191.83
42;granturco a maturazione cerosa;44.38
43;infrastruttura alberata;0
44;infrastruttura alberata;0
45;lago artificiale;0
46;manufatto di infrastruttura di trasporto;0
47;manufatto di infrastruttura di trasporto;0
48;manufatto di infrastruttura di trasporto;0
49;manufatto di infrastruttura di trasporto;0
50;manufatto industriale;0
51;manufatto monumentale;0
52;muro;0
53;muro di sostegno e ritenuta del terreno;0
54;muro di sostegno e ritenuta del terreno;0
55;opera idraulica di regolazione;0
56;opera portuale;0
57;orti;320.63
58;orti;320.63
59;orzo;231.37
60;particolare architettonico;0
61;pascoli;0
62;pascolo incolto;0
63;pascolo incolto;0
64;patata;249.2
65;pisello secco;351.65
66;ponte sostegno;0
67;ponte viadotto cavalcavia;0
68;prati erbai in genere e le marcite;115.56
69;prati permanenti;85.73
70;prati permanenti;85.73
71;sede di trasporto su ferro;0
72;sede di trasporto su ferro;0
73;sementi;3919.79
74;seminativi;180.14
75;seminativi;180.14
76;sorgo;217.14
77;sostegno a traliccio;0
78;specchio d'acqua;0
79;terreni a riposo senza aiuto;0
80;viabilita' mista secondaria;0
81;vivai altri;320.63
82;bosco - generico;0
83;bosco - querceti di rovere;0
84;bosco - querco-carpineti;0
85;bosco - rimboschimenti;0
86;bosco - robinieti;0
87;bosco - saliceti e pioppeti ripari;0
